NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DS_ENDERECO;DS_COMPLEMENTO;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;QT_MAT_BAS
2019;Assis Brasil;1200054;ESC LEDA BATISTA DA SILVA;12021164;3;2;0.0;SGAL. PARAGUACU COL. CASTELO;;0.0;0.0;0.0;1.0;13.0
2019;Assis Brasil;1200054;ESC INDIGENA BETEL;12021733;2;2;2.0;TERRA INDIGENA MAMOADATE;RIO IACO;0.0;0.0;0.0;1.0;50.0
2019;Assis Brasil;1200054;ESC INDIGENA SETE ESTRELAS;12021741;2;2;2.0;TERRA INDIGENA MAMOADATE ALDEIA EXTREMA;RIO IACO;0.0;0.0;0.0;1.0;138.0
2019;Assis Brasil;1200054;ESC INDIGENA KAJPAHA;12021750;2;2;2.0;TERRA INDIGENA MAMOADATE RIO IACO;;0.0;0.0;0.0;1.0;52.0
2019;Assis Brasil;1200054;ESC MARCIONILIA ALMIRA DE ARAUJO;12022047;3;2;0.0;SGAL. ICURIA COL.BOM SUCESSO;;0.0;0.0;0.0;1.0;8.0
2019;Assis Brasil;1200054;ESC MANOEL SABOIA DOS SANTOS;12022063;3;2;0.0;SGAL. GUANABARA COL. DIVISAO II;;0.0;0.0;0.0;1.0;12.0
2019;Assis Brasil;1200054;ESC HENRIQUE PASCOAL;12022071;3;2;0.0;SGAL. ICURIA, COL MULUNGU RESEX CHICO MENDES;ZONA RURAL;0.0;0.0;0.0;1.0;7.0
2019;Assis Brasil;1200054;ESC ALTAMIRA;12022080;3;2;1.0;SGAL. PA SANTA QUITERIA COL. ALTAMIRA;ZONA RURAL;1.0;0.0;0.0;0.0;22.0
2019;Assis Brasil;1200054;ESC SIMON BOLIVAR;12022098;3;1;0.0;RUA DOM GIOCONDO MARIA GROTTI;PROXIMO MARCO RONDON;1.0;0.0;0.0;0.0;228.0
2019;Assis Brasil;1200054;ESC VICENTE BESSA;12023140;3;2;1.0;SGAL. SAO PEDRO, COL. RIO GRANDE;ZONA RURAL;0.0;0.0;0.0;1.0;44.0
2019;Assis Brasil;1200054;ESC ALONSO GONCALVES GOMES;12025984;3;2;0.0;SGAL. PARAGUACU COL. BOM JARDIM;;0.0;0.0;0.0;1.0;9.0
2019;Assis Brasil;1200054;ESC INDIGENA SAO PEDRO;12026158;2;2;2.0;TERRA INDIGENA MAMOADATE, ALDEIA LAGO NOVO;RIO IACO;0.0;0.0;1.0;0.0;58.0
2019;Assis Brasil;1200054;ESC INDIGENA LIBERDADE;12026166;2;2;2.0;LIBERDADE;;0.0;0.0;0.0;1.0;6.0
2019;Assis Brasil;1200054;ESC INDIGENA NOSSA SENHORA DA CONCEICAO;12026182;2;2;2.0;ALDEIA BOCA DO MAMOADATE;RIO YACO;0.0;0.0;0.0;1.0;66.0
