UF;Município;Ano;Transferência;Valor Consolidado;Código IBGE
AC;Sena Madureira;2024;FUNDEB;54602385.93;1200500
AC;Senador Guiomard;2019;FUNDEB;10876086.16;1200450
AC;Senador Guiomard;2020;FUNDEB;10726955.07;1200450
AC;Senador Guiomard;2021;FUNDEB;15794608.21;1200450
AC;Senador Guiomard;2022;FUNDEB;18516112.67;1200450
AC;Senador Guiomard;2023;FUNDEB;16548981.31;1200450
AC;Senador Guiomard;2024;FUNDEB;19254663.59;1200450
AC;Tarauacá;2019;FUNDEB;30482667.54;1200609
AC;Tarauacá;2020;FUNDEB;29434354.57;1200609
AC;Tarauacá;2021;FUNDEB;42498229.45;1200609
AC;Tarauacá;2022;FUNDEB;59345980.97;1200609
AC;Tarauacá;2023;FUNDEB;61784095.79;1200609
AC;Tarauacá;2024;FUNDEB;71913619.47;1200609
AC;Xapuri;2019;FUNDEB;5596641.9;1200708
AC;Xapuri;2020;FUNDEB;5958612.14;1200708
AC;Xapuri;2021;FUNDEB;8673644.34;1200708
AC;Xapuri;2022;FUNDEB;9972347.89;1200708
AC;Xapuri;2023;FUNDEB;11442049.14;1200708
AC;Xapuri;2024;FUNDEB;14762851.03;1200708
