NU_ANO_CENSO;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;CO_ENTIDADE;NO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;NU_DDD;NU_TELEFONE;TP_SITUACAO_FUNCIONAMENTO;CO_ESCOLA_SEDE_VINCULADA;IN_LOCAL_FUNC_PREDIO_ESCOLAR;TP_OCUPACAO_PREDIO_ESCOLAR;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_FOSSA;IN_ESGOTO_INEXISTENTE;IN_BANHEIRO;IN_COZINHA;QT_MAT_BAS;IN_AGUA_CARRO_PIPA
2019;AC;12;Assis Brasil;1200054;12015814;ESC BENEDITO BATISTA DE ARAUJO;3;2;1.0;SGAL SAO FRANCISCO COL. LIVRAMENTO;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;18.0;
2019;AC;12;Assis Brasil;1200054;12015830;ESC CHICO MENDES;3;2;0.0;SGAL.SAO FRANCISCO COL.CUMARU;;RESEX CHICO MENDES;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;17.0;
2019;AC;12;Assis Brasil;1200054;12015849;ESC CARIOLANDO DE SOUZA GOMES;3;2;0.0;SGAL.SAO FRANCISCO COL.DERRETIDO;;MARGEM DO RIO ACRE;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;41.0;
2019;AC;12;Assis Brasil;1200054;12015873;ESC EDILSA MARIA BATISTA;3;1;0.0;RUA ENEIDE BATISTA;830;PERTO DO HOSPITAL;CASCATA;69935000.0;68;9.9937E8;1;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;288.0;
2019;AC;12;Assis Brasil;1200054;12015890;ESC FRANCISCO MENEZES DE ARAUJO;3;2;0.0;SGAL. SAO FRANCISCO, COL. VENEZA;;ZONA RURAL;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;25.0;
2019;AC;12;Assis Brasil;1200054;12015920;ESC GEZILDA DE FREITAS PAIXAO;3;2;1.0;SGAL. SAO PEDRO, COL. SOL A SOL;;ZONA RURAL;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;22.0;
2019;AC;12;Assis Brasil;1200054;12015946;ESC PROF IRIS CELIA CABANELLAS ZANNINI;2;1;0.0;RUA ENEIDE BATISTA;525;;CENTRO;69935000.0;68;35481421;1;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1086.0;
2019;AC;12;Assis Brasil;1200054;12015970;ESC JOSE HIPOLITO DE SOUZA;3;2;0.0;SGAL. PARAGUACU COL. AGUA BOA;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;21.0;
2019;AC;12;Assis Brasil;1200054;12016047;ESC PETRONIO FELINTO DE ALMEIDA;3;2;1.0;SGAL SAO PEDRO COL. MUSEU;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;26.0;
2019;AC;12;Assis Brasil;1200054;12016063;ESC RECIFE;3;2;0.0;SGAL. SAO FRANCISCO COL. RECIFE;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;27.0;
2019;AC;12;Assis Brasil;1200054;12016071;ESC SANTA RITA;3;2;0.0;SGAL. PARAGUACU, COL. ERECE;;ZONA RURAL;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;14.0;
2019;AC;12;Assis Brasil;1200054;12016101;ESC INDIGENA SAO LOURENCO;2;2;2.0;TERRA INDIGENA MAMOADATE ALDEIA SAO LOURENCO RIO A;;;;69935000.0;.;.;1;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;15.0;
2019;AC;12;Assis Brasil;1200054;12016110;ESC SAO SEBASTIAO;3;2;1.0;SGAL. SAO PEDRO, RAMAL DO 18 KM 12;;ZONA RURAL;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;9.0;
